52 - [3, 1, 0.0024000000000000002, 128, 16, 524288, 64, 0, 0, 0] reward:-28238.490181992925
53 - [6, 4, 0.0019, 128, 64, 2097152, 64, 0, 0, 0] reward:-0.0
54 - [3, 3, 0.001, 112, 112, 262144, 64, 0, 0, 0] reward:-11392.695959051132
55 - [11, 7, 0.0013, 16, 16, 2097152, 64, 0, 0, 0] reward:-0.0
56 - [8, 2, 0.0012000000000000001, 48, 96, 2097152, 64, 0, 0, 0] reward:-0.0
57 - [6, 1, 0.0016, 80, 16, 2097152, 64, 0, 0, 0] reward:-0.0
58 - [5, 4, 0.0017000000000000001, 80, 64, 262144, 64, 0, 0, 0] reward:-0.0
59 - [11, 1, 0.0005, 48, 96, 4194304, 64, 0, 0, 0] reward:-0.0
60 - [11, 1, 0.0005, 48, 96, 4194304, 64, 0, 0, 0] reward:-0.0
61 - [11, 1, 0.0005, 48, 96, 4194304, 64, 0, 0, 0] reward:-0.0
62 - [11, 1, 0.0005, 48, 96, 4194304, 64, 0, 0, 0] reward:-0.0
63 - [11, 1, 0.0005, 48, 96, 4194304, 64, 0, 0, 0] reward:-0.0
best of init EDYP:0.0
0 - [14, 2, 0.0026000000000000003, 96, 16, 1048576, 64, 0, 0, 0] reward:-0.0
1 - [8, 8, 0.0029000000000000002, 112, 16, 8388608, 64, 0, 0, 0] reward:-0.0
2 - [1, 1, 0.001, 96, 96, 262144, 64, 0, 0, 0] reward:-62680.16513338639
3 - [5, 4, 0.0022, 112, 32, 524288, 64, 0, 0, 0] reward:-0.0
4 - [3, 3, 0.0018000000000000002, 80, 112, 4194304, 64, 0, 0, 0] reward:-0.0
5 - [2, 2, 0.0013, 80, 48, 8388608, 64, 0, 0, 0] reward:-40640.96923266209
6 - [4, 4, 0.0016, 48, 48, 524288, 64, 0, 0, 0] reward:-15010.342593543708
7 - [13, 8, 0.002, 32, 64, 4194304, 64, 0, 0, 0] reward:-0.0
8 - [2, 1, 0.0013, 80, 16, 1048576, 64, 0, 0, 0] reward:-62137.05607617126
9 - [15, 8, 0.0008, 80, 64, 131072, 64, 0, 0, 0] reward:-0.0
10 - [15, 5, 0.0017000000000000001, 64, 64, 524288, 64, 0, 0, 0] reward:-0.0
11 - [8, 5, 0.0016, 96, 64, 262144, 64, 0, 0, 0] reward:-0.0
12 - [14, 7, 0.0025, 32, 64, 1048576, 64, 0, 0, 0] reward:-0.0
13 - [9, 5, 0.0024000000000000002, 48, 112, 262144, 64, 0, 0, 0] reward:-0.0
14 - [9, 1, 0.0005, 80, 80, 262144, 64, 0, 0, 0] reward:-0.0
15 - [3, 1, 0.0021000000000000003, 112, 128, 2097152, 64, 0, 0, 0] reward:-0.0
16 - [2, 2, 0.0024000000000000002, 112, 64, 8388608, 64, 0, 0, 0] reward:-0.0
17 - [12, 6, 0.0026000000000000003, 32, 64, 262144, 64, 0, 0, 0] reward:-0.0
18 - [2, 2, 0.0021000000000000003, 80, 112, 8388608, 64, 0, 0, 0] reward:-0.0
19 - [9, 4, 0.0028, 80, 112, 131072, 64, 0, 0, 0] reward:-0.0
20 - [12, 2, 0.0024000000000000002, 16, 48, 1048576, 64, 0, 0, 0] reward:-0.0
21 - [3, 3, 0.0018000000000000002, 64, 128, 131072, 64, 0, 0, 0] reward:-17627.007259032893
22 - [1, 1, 0.0019, 32, 16, 4194304, 64, 0, 0, 0] reward:-543015.1164490391
23 - [15, 1, 0.0008, 32, 32, 4194304, 64, 0, 0, 0] reward:-0.0
24 - [8, 4, 0.0022, 96, 48, 4194304, 64, 0, 0, 0] reward:-0.0
25 - [10, 7, 0.0025, 32, 96, 2097152, 64, 0, 0, 0] reward:-0.0
26 - [12, 6, 0.0023, 16, 32, 1048576, 64, 0, 0, 0] reward:-0.0
27 - [16, 3, 0.0018000000000000002, 48, 48, 1048576, 64, 0, 0, 0] reward:-0.0
28 - [9, 5, 0.0019, 64, 128, 4194304, 64, 0, 0, 0] reward:-0.0
29 - [16, 8, 0.0014000000000000002, 112, 128, 131072, 64, 0, 0, 0] reward:-0.0
30 - [5, 4, 0.0012000000000000001, 128, 48, 524288, 64, 0, 0, 0] reward:-0.0
31 - [3, 3, 0.0008, 96, 48, 4194304, 64, 0, 0, 0] reward:-0.0
32 - [9, 8, 0.0022, 16, 64, 1048576, 64, 0, 0, 0] reward:-0.0
33 - [14, 5, 0.0016, 16, 48, 131072, 64, 0, 0, 0] reward:-0.0
34 - [7, 1, 0.0014000000000000002, 16, 128, 8388608, 64, 0, 0, 0] reward:-0.0
35 - [4, 4, 0.002, 80, 80, 262144, 64, 0, 0, 0] reward:-0.0
36 - [13, 5, 0.0019, 96, 128, 1048576, 64, 0, 0, 0] reward:-0.0
37 - [3, 1, 0.0021000000000000003, 96, 128, 524288, 64, 0, 0, 0] reward:-0.0
38 - [16, 6, 0.0007, 16, 128, 1048576, 64, 0, 0, 0] reward:-0.0
39 - [2, 2, 0.0018000000000000002, 64, 80, 524288, 64, 0, 0, 0] reward:-16139.61132065951
40 - [11, 3, 0.0009, 32, 16, 524288, 64, 0, 0, 0] reward:-0.0
